kode,nama,anggaran,satuan_kerja_id,tahun_kinerja
4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,8199999947,44,2024
4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,2417016464,38,2024
4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,97531088150,43,2024
4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,1597441180,40,2024
4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,2495350800,45,2024
4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,2323590800,37,2024
4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,2026894100,42,2024
4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,1084484260,39,2024
4.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,1782919736,44,2024
4.02.02,PROGRAM DUKUNGAN PELAKSANAAN TUGAS DAN FUNGSI DPRD,60707667830,46,2024
4.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,98529599263,46,2024
5.01.02,PROGRAM PERENCANAAN PENGENDALIAN  DAN EVALUASI PEMBANGUNAN DAERAH,5977648047,1,2024
5.01.03,PROGRAM KOORDINASI DAN SINKRONISASI PERENCANAAN PEMBANGUNAN DAERAH,7917198610,1,2024
5.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,33160287621,1,2024
5.02.04,PROGRAM PENGELOLAAN PENDAPATAN DAERAH,10763201296,3,2024
5.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,92649612972,3,2024
5.02.02,PROGRAM PENGELOLAAN KEUANGAN DAERAH,744293407434,4,2024
5.02.03,PROGRAM PENGELOLAAN BARANG MILIK DAERAH,4146139250,4,2024
5.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,394138642011,4,2024
5.03.02,PROGRAM KEPEGAWAIAN DAERAH,4454482800,5,2024
5.03.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,16042069555,5,2024
5.04.02,PROGRAM PENGEMBANGAN SUMBER DAYA MANUSIA,9739485650,6,2024
5.04.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,18498922664,6,2024
5.05.02,PROGRAM PENELITIAN DAN PENGEMBANGAN DAERAH,4808886313,7,2024
5.05.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,11804814165,7,2024
5.07.02,PROGRAM PELAYANAN PENGHUBUNG,6870829243,9,2024
5.07.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,9409584928,9,2024
6.01.02,PROGRAM PENYELENGGARAAN PENGAWASAN,8406480000,48,2024
6.01.03,PROGRAM PERUMUSAN KEBIJAKAN  PENDAMPINGAN DAN ASISTENSI,1044851500,48,2024
6.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,28545865548,48,2024
8.01.02,PROGRAM PENGUATAN IDEOLOGI PANCASILA DAN KARAKTER KEBANGSAAN,3665727925,2,2024
8.01.03,PROGRAM PENINGKATAN PERAN PARTAI POLITIK DAN LEMBAGA PENDIDIKAN MELALUI PENDIDIKAN POLITIK DAN PENGEMBANGAN ETIKA SERTA BUDAYA POLITIK,93993465327,2,2024
8.01.04,PROGRAM PEMBERDAYAAN DAN PENGAWASAN ORGANISASI KEMASYARAKATAN,30906847327,2,2024
8.01.05,PROGRAM PEMBINAAN DAN PENGEMBANGAN KETAHANAN EKONOMI  SOSIAL  DAN BUDAYA,435083625,2,2024
8.01.06,PROGRAM PENINGKATAN KEWASPADAAN NASIONAL DAN PENINGKATAN KUALITAS DAN FASILITASI PENANGANAN KONFLIK SOSIAL,1621968000,2,2024
8.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,11658346217,2,2024
