program_id;kode;nama;satuan_kerja_id;anggaran;tahun_kinerja
654;3.25.04.1.05;Pengelolaan Pembudidayaan Ikan di Laut;31;221000000;2026
654;3.25.04.1.06;Pengelolaan Pembudidayaan Ikan di Perairan Darat;31;1661200000;2026
655;3.25.05.1.01;Pengawasan Sumber Daya Kelautan dan Perikanan sampai dengan 12 Mil;31;817800000;2026
655;3.25.05.1.02;Pengawasan Sumber Daya Perikanan di Wilayah Sungai, Danau, Waduk, Rawa, dan Genangan Air Lainnya yang Dapat Diusahakan Lintas Kabupaten/Kota dalam 1 (Satu) Daerah Provinsi;31;0;2026
656;3.25.06.1.01;Penerbitan Izin Usaha Pemasaran dan Pengolahan Hasil Perikanan Lintas Daerah Kabupaten/Kota dalam 1 (Satu) Daerah Provinsi;31;0;2026
656;3.25.06.1.02;Pembinaan Mutu dan Keamanan Hasil Perikanan bagi Usaha Pengolahan dan Pemasaran Skala Menengah dan Besar;31;0;2026
656;3.25.06.1.03;Penyediaan dan Penyaluran Bahan Baku Industri Pengolahan Ikan Lintas Daerah Kabupaten/Kota dalam 1 (Satu) Daerah Provinsi;31;3456400000;2026
657;2.12.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;22;579006700;2026
657;2.12.01.1.02;Administrasi Keuangan Perangkat Daerah;22;5934732892;2026
"657;2.12.01.1.03;Administrasi Barang Milik Daerah pada

Perangkat Daerah;22;66659800;2026"
657;2.12.01.1.05;Administrasi Kepegawaian Perangkat Daerah;22;34500000;2026
657;2.12.01.1.06;Administrasi Umum Perangkat Daerah;22;1296880015;2026
"657;2.12.01.1.07;Pengadaan Barang Milik Daerah Penunjang

Urusan Pemerintah Daerah;22;92174440;2026"
"657;2.12.01.1.08;Penyediaan Jasa Penunjang Urusan

Pemerintahan Daerah;22;968586800;2026"
657;2.12.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;22;512680000;2026
658;2.12.02.1.01;Pelayanan Pendaftaran Kependudukan ;22;0;2026
658;2.12.02.1.02;Penyelenggaraan Pendaftaran Kependudukan;22;457045700;2026
658;2.12.02.1.03;Pembinaan dan Pengawasan Penyelenggaraan Pendaftaran Kependudukan;22;0;2026
